name,description,address,locality,region,url
Industrious Palo Alto," 26,050 SF Office Building Offered in Palo Alto, CA",3203-3223 Hanover St,Palo Alto,California,https://www.loopnet.com/Listing/3203-3223-Hanover-St-Palo-Alto-CA/26357012/
Industrious San Francisco Union Square," 13,730 SF Office Building Offered in San Francisco, CA",77 Geary St,San Francisco,California,https://www.loopnet.com/Listing/77-Geary-St-San-Francisco-CA/20819252/
Venture X San Diego - Scripps Ranch," 22,671 SF Office Building Offered in San Diego, CA",10089 Willow Creek Rd,San Diego,California,https://www.loopnet.com/Listing/10089-Willow-Creek-Rd-San-Diego-CA/27802388/
440 N Wolfe Rd," 15,000 SF Office Building Offered in Sunnyvale, CA",440 N Wolfe Rd,Sunnyvale,California,https://www.loopnet.com/Listing/440-N-Wolfe-Rd-Sunnyvale-CA/12989645/
Second Home Hollywood," 1,212 SF Office Building Offered in Los Angeles, CA",1370 N St Andrews Pl,Los Angeles,California,https://www.loopnet.com/Listing/1370-N-St-Andrews-Pl-Los-Angeles-CA/26277672/
Premier Workspaces 301 N Lake," 1,800 SF Office Building Offered in Pasadena, CA",301 N Lake Ave,Pasadena,California,https://www.loopnet.com/Listing/301-N-Lake-Ave-Pasadena-CA/25691736/
Spaces University Town Center," 5,900 SF Office Building Offered in San Diego, CA",4660 La Jolla Village Dr,San Diego,California,https://www.loopnet.com/Listing/4660-La-Jolla-Village-Dr-San-Diego-CA/9141315/
12100 Wilshire Blvd," 6,255 SF Office Building Offered in Los Angeles, CA",12100 Wilshire Blvd,Los Angeles,California,https://www.loopnet.com/Listing/12100-Wilshire-Blvd-Los-Angeles-CA/4413139/
Fox Plaza," 250 SF Office Building Offered in Century City, CA",2121 Avenue of the Stars,Century City,California,https://www.loopnet.com/Listing/2121-Avenue-of-the-Stars-Century-City-CA/26629101/
Sutter Square," 1,500 SF Office Building Offered in Concord, CA",1800 Sutter St,Concord,California,https://www.loopnet.com/Listing/1800-Sutter-St-Concord-CA/26620633/
1300 Eastman Ave,"100 SF Office Building Offered in Ventura, CA",1300 Eastman Ave,Ventura,California,https://www.loopnet.com/Listing/1300-Eastman-Ave-Ventura-CA/28289626/
The Courtyard at Palm Springs," 1,143 SF Office Building Offered at $37.92 - $48.84 SF/YR in  Palm Springs, CA",777 E Tahquitz Canyon Way,Palm Springs,California,https://www.loopnet.com/Listing/777-E-Tahquitz-Canyon-Way-Palm-Springs-CA/8911603/
25% off - Spaces The MET," 5,900 SF Office Building Offered in Costa Mesa, CA",555 Anton Blvd,Costa Mesa,California,https://www.loopnet.com/Listing/555-Anton-Blvd-Costa-Mesa-CA/11915744/
Werqwise San Mateo," 18,330 SF Office Building Offered in San Mateo, CA",4 W 4th Ave,San Mateo,California,https://www.loopnet.com/Listing/4-W-4th-Ave-San-Mateo-CA/24534197/
Pico Rivera Professional & Medical Building," 310 SF Office Building Offered in Pico Rivera, CA",6505 Rosemead Blvd,Pico Rivera,California,https://www.loopnet.com/Listing/6505-Rosemead-Blvd-Pico-Rivera-CA/22212153/
2044 Franklin St," 4,845 SF Office Building Offered in Oakland, CA",2044 Franklin St,Oakland,California,https://www.loopnet.com/Listing/2044-Franklin-St-Oakland-CA/27574122/
Spaces Jack London Square," 5,900 SF Office Building Offered in Oakland, CA",66 Franklin St,Oakland,California,https://www.loopnet.com/Listing/66-Franklin-St-Oakland-CA/16180723/
Spaces Levis Plaza," 5,900 SF Office Building Offered in San Francisco, CA",1160 Battery St,San Francisco,California,https://www.loopnet.com/Listing/1160-Battery-St-San-Francisco-CA/9141316/
Bonneville Labs & Spec Suites," 34,000 SF Flex Building Offered in Hayward, CA",25801 Industrial Blvd,Hayward,California,https://www.loopnet.com/Listing/25801-Industrial-Blvd-Hayward-CA/27082214/
Bonneville Labs," 2,680 SF Flex Building Offered in Berkeley, CA",626 Bancroft Way,Berkeley,California,https://www.loopnet.com/Listing/626-Bancroft-Way-Berkeley-CA/26882205/
